,date,clientId,deviceCategory,browser,browserVersion,sessions,transactions,transactionRevenue
38,2020-01-01,887368132.1577876148,mobile,Safari,604.1,1,0,0
39,2020-01-01,921138544.1577876036,tablet,Samsung Internet,10.2,1,0,0
40,2020-01-01,998060593.1577860830,desktop,Safari,10.0,1,0,0
41,2020-01-02,1021550104.1578002400,mobile,Chrome,79.0.3945.93,1,0,0
42,2020-01-02,107150468.1577940457,mobile,Samsung Internet,11.0,1,0,0
43,2020-01-02,1122569860.1577978242,mobile,Chrome,70.0.3538.75,1,0,0
44,2020-01-02,11587052.1578008377,desktop,Safari,13.0.4,1,0,0
45,2020-01-02,116357892.1577948840,mobile,Chrome,76.0.3809.111,1,0,0
46,2020-01-02,122500483.1577992947,mobile,Safari,13.0.4,2,0,0
47,2020-01-02,1237102658.1577975456,desktop,Chrome,79.0.3945.88,2,0,0
48,2020-01-02,1278302937.1577926909,desktop,Safari,13.0.4,1,0,0
49,2020-01-02,1306518664.1577929517,mobile,Chrome,79.0.3945.93,1,0,0
50,2020-01-02,1367473675.1578004016,mobile,Safari,13.0.4,1,0,0
51,2020-01-02,1407488761.1577987458,mobile,Chrome,79.0.3945.93,1,0,0
52,2020-01-02,1415425283.1577939135,mobile,Chrome,78.0.3904.96,1,0,0
53,2020-01-02,1427816138.1578005951,mobile,Chrome,79.0.3945.93,1,0,0
54,2020-01-02,1434184099.1575307715,tablet,Chrome,79.0.3945.93,1,0,0
55,2020-01-02,1489938249.1577980339,desktop,Chrome,79.0.3945.88,1,0,0
56,2020-01-02,1518888484.1577978876,desktop,Chrome,79.0.3945.88,1,0,0
57,2020-01-02,1538813791.1577949603,desktop,Chrome,79.0.3945.88,1,0,0
58,2020-01-02,1553292541.1577966064,desktop,Chrome,79.0.3945.88,1,0,0
59,2020-01-02,1595789847.1577957909,desktop,Chrome,79.0.3945.88,1,0,0
60,2020-01-02,1604466981.1577938201,desktop,Chrome,79.0.3945.88,1,0,0
61,2020-01-02,1622933367.1577984917,mobile,Safari,13.0.4,1,0,0
62,2020-01-02,1623640831.1577954815,desktop,Chrome,79.0.3945.88,1,0,0
63,2020-01-02,1726476311.1577967114,desktop,Safari,13.0.4,1,0,0
64,2020-01-02,1803164156.1577953921,mobile,Safari,13.0.4,1,0,0
65,2020-01-02,1809752228.1577969233,desktop,Chrome,78.0.3904.108,1,0,0
66,2020-01-02,1814280451.1578007726,mobile,Safari,13.0.4,1,0,0
67,2020-01-02,1849482708.1577975252,mobile,Safari,13.0.4,2,0,0
68,2020-01-02,188763259.1577978972,desktop,Chrome,79.0.3945.88,1,0,0
69,2020-01-02,1888149524.1577994845,mobile,Safari,12.1,1,0,0
70,2020-01-02,1892730093.1577980581,mobile,Chrome,79.0.3945.93,1,0,0
71,2020-01-02,1898794960.1577923982,tablet,Chrome,69.0.3497.100,1,0,0
72,2020-01-02,1926037864.1577963829,tablet,Chrome,79.0.3945.93,1,0,0
73,2020-01-02,1931778321.1577962539,mobile,Samsung Internet,10.2,1,0,0
74,2020-01-02,2020172815.1577928679,mobile,Chrome,79.0.3945.93,1,0,0
75,2020-01-02,2038046235.1577984334,tablet,Safari,10.0,1,0,0
76,2020-01-02,2132723368.1577931171,mobile,Safari,13.0.5,1,0,0
77,2020-01-02,2140972103.1577971642,desktop,Chrome,79.0.3945.79,1,0,0
78,2020-01-02,303951374.1577967163,desktop,Chrome,79.0.3945.79,1,0,0
79,2020-01-02,311165582.1577988490,desktop,Safari,13.0.4,1,0,0
80,2020-01-02,451400678.1577967878,mobile,Chrome,79.0.3945.93,1,0,0
81,2020-01-02,490877086.1577623556,mobile,Safari,13.0.4,2,0,0
82,2020-01-02,567274733.1578003638,mobile,Chrome,79.0.3945.93,1,0,0
83,2020-01-02,588781363.1577937037,mobile,Safari,12.1.2,3,1,5.49
84,2020-01-02,626402209.1577932934,mobile,Safari,12.1.2,1,0,0
85,2020-01-02,647821701.1577892730,desktop,Safari,13.0.4,1,0,0
86,2020-01-02,675923752.1577992484,mobile,Safari,13.0.4,1,0,0
87,2020-01-02,702432953.1577996494,desktop,Chrome,79.0.3945.88,1,0,0
88,2020-01-02,730717961.1578001893,desktop,Safari,13.0.4,1,0,0
89,2020-01-02,732578734.1577957559,desktop,Chrome,79.0.3945.88,2,1,3.69
90,2020-01-02,779198000.1577974259,desktop,Chrome,79.0.3945.88,1,0,0
91,2020-01-02,821668088.1577956635,mobile,Chrome,79.0.3945.93,1,0,0
92,2020-01-02,837438651.1577970164,mobile,Samsung Internet,10.2,1,0,0
93,2020-01-02,879622107.1577935624,mobile,Chrome,79.0.3945.93,1,0,0
94,2020-01-02,931557848.1578004863,mobile,Chrome,79.0.3945.93,1,0,0
95,2020-01-02,93904715.1577981038,desktop,Chrome,79.0.3945.88,1,1,14.99
96,2020-01-02,972181996.1577054691,desktop,Chrome,79.0.3945.88,1,0,0
97,2020-01-02,988325540.1578004047,desktop,Safari,13.0.4,1,1,35.99
98,2020-01-03,1017429308.1578088799,desktop,Chrome,41.0.2272.118Safari,1,0,0
99,2020-01-03,1028075454.1578046878,desktop,Chrome,79.0.3945.88,1,0,0
100,2020-01-03,1067063398.1578056659,desktop,Chrome,79.0.3945.88,1,0,0
101,2020-01-03,1084227291.1578057946,mobile,Chrome,79.0.3945.93,1,0,0
102,2020-01-03,1098743734.1578079558,mobile,Chrome,78.0.3904.96,1,0,0
103,2020-01-03,110356081.1578035550,mobile,Samsung Internet,10.2,1,0,0
104,2020-01-03,1117703134.1578032928,mobile,Safari,12.1.2,1,0,0
105,2020-01-03,1225889955.1578072968,mobile,Safari,13.0.4,1,0,0
106,2020-01-03,1245307284.1578067517,tablet,Safari,10.0,1,0,0
107,2020-01-03,1294633299.1578080077,mobile,Safari,13.0.5,1,0,0
108,2020-01-03,1341710900.1578018448,mobile,Safari,13.0.4,1,0,0
109,2020-01-03,1352718918.1578033320,desktop,Chrome,62.0.3202.89,1,0,0
110,2020-01-03,1364595357.1578014531,mobile,Chrome,79.0.3945.73,1,0,0
111,2020-01-03,1422804717.1578057368,mobile,Samsung Internet,10.2,1,0,0
112,2020-01-03,1509795423.1578073588,mobile,Chrome,79.0.3945.93,1,0,0
113,2020-01-03,1578604461.1578072087,desktop,Chrome,79.0.3945.88,1,0,0
114,2020-01-03,1610224584.1578021294,desktop,Safari,13.0.1,1,0,0
115,2020-01-03,1619687152.1578042110,desktop,Chrome,79.0.3945.88,1,0,0
116,2020-01-03,1633598913.1578052645,mobile,Chrome,79.0.3945.93,1,0,0
117,2020-01-03,1709825569.1578082638,tablet,Amazon Silk,78.5.26,1,0,0
118,2020-01-03,1734784627.1578074298,desktop,Chrome,79.0.3945.88,1,0,0
119,2020-01-03,1767632645.1578018867,desktop,Chrome,76.0.3809.100,1,0,0
120,2020-01-03,1788087595.1578030770,mobile,Chrome,79.0.3945.93,1,0,0
121,2020-01-03,1834198502.1578051022,desktop,Edge,18.18362,4,0,0
122,2020-01-03,1834586120.1578076274,desktop,Chrome,79.0.3945.88,1,0,0
123,2020-01-03,1886108985.1578077854,desktop,Chrome,79.0.3945.88,1,0,0
124,2020-01-03,1894028759.1578070732,mobile,Safari,13.0.4,1,0,0
125,2020-01-03,198996833.1578014154,mobile,Safari,13.0.4,1,0,0
126,2020-01-03,2000167317.1578033901,mobile,Safari,13.0.1,1,0,0
127,2020-01-03,2011676121.1578019800,desktop,Chrome,79.0.3945.88,1,0,0
128,2020-01-03,2038046235.1577984334,tablet,Safari,10.0,1,0,0
129,2020-01-03,225306246.1578035442,tablet,Safari,12.0,1,0,0
130,2020-01-03,241806552.1578083599,mobile,Safari,13.0.4,1,0,0
131,2020-01-03,243357064.1578052810,desktop,Chrome,79.0.3945.88,1,0,0
132,2020-01-03,251954241.1578027259,mobile,Safari,13.0.4,1,0,0
133,2020-01-03,325212971.1578018676,desktop,Chrome,68.0.3440.106,1,0,0
134,2020-01-03,38088492.1578049208,desktop,Edge,18.17763,2,0,0
135,2020-01-03,383513544.1578049058,desktop,Chrome,79.0.3945.88,1,0,0
136,2020-01-03,402682118.1578038145,mobile,Chrome,79.0.3945.93,1,0,0
137,2020-01-03,438359956.1578020330,mobile,Samsung Internet,10.2,1,0,0
138,2020-01-03,504438394.1578064514,desktop,Safari,13.0.4,1,0,0
139,2020-01-03,505017649.1578066222,mobile,Chrome,79.0.3945.73,1,0,0
140,2020-01-03,549284610.1578071299,mobile,Chrome,79.0.3945.93,1,0,0
141,2020-01-03,559311772.1578037584,desktop,Chrome,79.0.3945.88,1,0,0
142,2020-01-03,565150615.1578081264,desktop,Chrome,79.0.3945.88,1,0,0
143,2020-01-03,587831152.1578061226,mobile,Chrome,79.0.3945.93,1,0,0
144,2020-01-03,641552887.1578014202,mobile,Safari,13.0.4,1,0,0
145,2020-01-03,675923752.1577992484,mobile,Safari,13.0.4,1,0,0
146,2020-01-03,744744599.1578078797,mobile,Chrome,79.0.3945.93,1,0,0
147,2020-01-03,744747416.1578047945,desktop,Firefox,71.0,1,0,0
148,2020-01-03,765990417.1578030890,mobile,Safari,604.1,2,0,0
149,2020-01-03,811588156.1578058321,desktop,Edge,18.17763,1,0,0
150,2020-01-03,872902934.1578038911,desktop,Chrome,76.0.3803.0,1,0,0
151,2020-01-03,888375918.1578057153,desktop,Chrome,79.0.3945.88,1,0,0
152,2020-01-03,917883204.1578077166,mobile,Safari,13.0.4,1,0,0
153,2020-01-03,926846274.1578062995,desktop,Safari,13.0.3,1,0,0
154,2020-01-03,933522160.1578071538,mobile,Samsung Internet,10.2,1,0,0
155,2020-01-03,987634138.1578095621,mobile,Safari,13.0.4,1,0,0
156,2020-01-03,988828338.1578067538,desktop,Internet Explorer,11.0,1,0,0
157,2020-01-04,1017978549.1578165816,desktop,Safari,13.0.4,1,0,0
158,2020-01-04,1019721290.1517955721,mobile,Safari,13.0.4,1,0,0
159,2020-01-04,104066282.1570654253,mobile,Chrome,79.0.3945.73,1,0,0
160,2020-01-04,1125482717.1578175728,desktop,Chrome,79.0.3945.88,2,1,35.99
161,2020-01-04,1192236693.1578096811,desktop,Chrome,79.0.3945.88,1,0,0
162,2020-01-04,1218242385.1578182000,desktop,Chrome,79.0.3945.88,1,0,0
163,2020-01-04,1222313005.1578110709,desktop,Safari,13.0.4,1,0,0
164,2020-01-04,1289839603.1578169505,tablet,Safari,12.1.2,1,0,0
165,2020-01-04,1304224954.1578168320,mobile,Safari,13.0.4,1,0,0
166,2020-01-04,1391503920.1578169691,mobile,Safari,13.0.4,1,0,0
167,2020-01-04,1411635988.1578152415,desktop,Chrome,79.0.3945.88,1,0,0
168,2020-01-04,1584198549.1578102096,mobile,Chrome,79.0.3945.93,1,0,0
169,2020-01-04,1586009588.1578140156,desktop,Chrome,79.0.3945.88,1,0,0
170,2020-01-04,1618945322.1578130049,mobile,Safari,13.0.4,1,0,0
171,2020-01-04,1634806104.1578160918,desktop,Safari,13.0.4,2,0,0
172,2020-01-04,164984697.1578107087,mobile,Chrome,79.0.3945.93,1,0,0
173,2020-01-04,1680789190.1577434385,desktop,Safari,13.0.4,1,0,0
174,2020-01-04,1698718581.1578158685,desktop,Chrome,79.0.3945.88,1,0,0
175,2020-01-04,1767632645.1578018867,desktop,Chrome,76.0.3809.100,1,0,0
176,2020-01-04,1865681941.1578154904,mobile,Safari,13.0.4,1,0,0
177,2020-01-04,1943566226.1578169626,mobile,Safari,13.0.4,1,0,0
178,2020-01-04,1957279316.1578156772,mobile,Safari,13.0.4,1,0,0
179,2020-01-04,1992610106.1578179211,mobile,Chrome,79.0.3945.93,1,0,0
180,2020-01-04,2074853542.1578149686,mobile,Chrome,79.0.3945.93,2,0,0
181,2020-01-04,209425605.1578150813,mobile,Safari,13.0.4,1,0,0
182,2020-01-04,2113256216.1576513557,mobile,Chrome,79.0.3945.93,1,0,0
183,2020-01-04,2126453124.1578181666,mobile,Safari,13.0.4,1,0,0
184,2020-01-04,2131319713.1578179203,desktop,Chrome,79.0.3945.88,1,0,0
185,2020-01-04,241981921.1578155259,desktop,Safari,13.0.4,1,0,0
186,2020-01-04,258345251.1578147689,mobile,Chrome,79.0.3945.93,1,0,0
187,2020-01-04,302883126.1578156626,mobile,Chrome,79.0.3945.73,1,0,0
188,2020-01-04,306631174.1578157176,desktop,Chrome,79.0.3945.88,1,0,0
189,2020-01-04,322177090.1578172712,mobile,Safari,13.0.4,1,0,0
190,2020-01-04,328214114.1578128855,mobile,Safari,13.0.4,1,0,0
191,2020-01-04,379321637.1578135614,desktop,Chrome,79.0.3945.88,1,0,0
192,2020-01-04,388497929.1578098721,desktop,(not set),(not set),1,0,0
193,2020-01-04,443008684.1578147931,mobile,Safari,13.0.4,1,0,0
194,2020-01-04,556431985.1578131430,mobile,Safari,12.1.2,1,0,0
195,2020-01-04,585947683.1578146808,mobile,Safari,12.1.2,1,0,0
196,2020-01-04,639823451.1578161705,desktop,Chrome,79.0.3945.88,1,0,0
197,2020-01-04,668387716.1578157495,desktop,Chrome,79.0.3945.86,1,0,0
198,2020-01-04,796013008.1576672625,desktop,Firefox,71.0,1,0,0
199,2020-01-04,824280706.1578174550,mobile,Safari,13.0.4,1,0,0
200,2020-01-04,951669815.1578111248,mobile,Safari,13.0.5,1,0,0
201,2020-01-04,987634138.1578095621,mobile,Safari,13.0.4,1,0,0
202,2020-01-05,1026588873.1578219586,tablet,Chrome,79.0.3945.93,1,0,0
203,2020-01-05,1048731329.1578268774,desktop,Edge,18.18362,1,0,0
204,2020-01-05,1089646731.1578188357,mobile,Chrome,74.0.3729.186,1,0,0
205,2020-01-05,1104155624.1578261611,desktop,Safari,13.0.4,1,1,21.19
206,2020-01-05,1116874650.1578258477,mobile,Chrome,77.0.3865.92,1,0,0
207,2020-01-05,123439791.1578248122,desktop,Safari,13.0.4,1,0,0
208,2020-01-05,1261261735.1578259377,tablet,Chrome,79.0.3945.73,1,0,0
209,2020-01-05,1265981572.1578259807,mobile,Safari,13.0.4,1,0,0
210,2020-01-05,1298016445.1578257600,mobile,Safari,13.0.4,1,0,0
211,2020-01-05,1373039343.1578193890,mobile,Safari,13.0.4,1,0,0
212,2020-01-05,1389742739.1578240506,tablet,Safari,12.1.2,1,0,0
213,2020-01-05,1416072235.1578241855,tablet,Safari,12.1.2,1,0,0
214,2020-01-05,1449869247.1578256420,mobile,Samsung Internet,10.2,1,0,0
215,2020-01-05,1453773816.1578249026,desktop,Safari,13.0.3,1,0,0
216,2020-01-05,1535015558.1578266365,desktop,Safari,13.0.4,1,0,0
217,2020-01-05,1562305557.1578261016,mobile,Safari,13.0.4,1,0,0
218,2020-01-05,1571404449.1578205416,desktop,Chrome,79.0.3945.88,1,0,0
219,2020-01-05,1680789190.1577434385,desktop,Safari,13.0.4,1,0,0
220,2020-01-05,1737944848.1578217538,mobile,Chrome,79.0.3945.93,1,0,0
221,2020-01-05,1749051498.1543183903,mobile,Safari,13.0.4,1,0,0
222,2020-01-05,1808087322.1578256065,tablet,Chrome,79.0.3945.93,1,0,0
223,2020-01-05,1823821170.1578196238,mobile,Chrome,79.0.3945.93,1,0,0
224,2020-01-05,1846409689.1578190960,desktop,Chrome,79.0.3945.88,1,0,0
225,2020-01-05,1856194351.1575969943,mobile,Chrome,79.0.3945.93,1,0,0
226,2020-01-05,1949045193.1578185589,mobile,Safari,11.0,1,0,0
227,2020-01-05,1955173897.1578253470,mobile,Chrome,79.0.3945.93,1,0,0
228,2020-01-05,2000516405.1578247076,mobile,Chrome,79.0.3945.73,1,0,0
229,2020-01-05,2019429634.1578238185,tablet,Safari,13.0.4,1,0,0
230,2020-01-05,2134698633.1578249987,tablet,Safari,12.1.2,1,0,0
231,2020-01-05,308189201.1578212484,mobile,Chrome,79.0.3945.93,1,0,0
232,2020-01-05,312317346.1578188480,mobile,Chrome,79.0.3945.93,1,0,0
233,2020-01-05,373201957.1578265115,mobile,Chrome,79.0.3945.73,1,0,0
234,2020-01-05,402682118.1578038145,mobile,Chrome,79.0.3945.93,1,0,0
235,2020-01-05,43716608.1578259594,desktop,Chrome,79.0.3945.88,1,0,0
236,2020-01-05,44429983.1578255189,mobile,Chrome,79.0.3945.93,1,1,19.89
237,2020-01-05,450044752.1578248548,desktop,Safari,13.0.4,1,0,0
238,2020-01-05,485802815.1578268299,mobile,Chrome,79.0.3945.93,1,0,0
239,2020-01-05,489162334.1578182475,mobile,Safari,13.0.4,1,0,0
240,2020-01-05,54118403.1578264566,mobile,Samsung Internet,10.2,1,0,0
241,2020-01-05,620523419.1578201999,mobile,Safari,13.0.1,1,0,0
242,2020-01-05,70848366.1578234617,mobile,Chrome,79.0.3945.93,1,0,0
243,2020-01-05,840589832.1578238282,mobile,Safari,604.1,1,0,0
244,2020-01-05,866524687.1578191650,mobile,Safari,13.0.4,1,0,0
245,2020-01-05,868014375.1578263653,mobile,Firefox,68.0,1,0,0
246,2020-01-05,942185795.1578235425,mobile,Safari,11.0,1,0,0
247,2020-01-05,981414708.1578253717,mobile,Safari,13.0.4,1,0,0
248,2020-01-06,1013411459.1578349555,mobile,Safari,13.0.1,1,0,0
249,2020-01-06,1016088513.1578303344,desktop,Firefox,69.0,1,0,0
250,2020-01-06,1030575583.1578300815,desktop,Internet Explorer,11.0,1,0,0
251,2020-01-06,1048731329.1578268774,desktop,Edge,18.18362,1,0,0
252,2020-01-06,1049264542.1578302367,desktop,Internet Explorer,11.0,1,0,0
253,2020-01-06,1062081239.1578343693,tablet,Safari,10.0,1,0,0
254,2020-01-06,1080626794.1578303333,desktop,Firefox,69.0,1,0,0
255,2020-01-06,1126042264.1578301252,desktop,Internet Explorer,11.0,1,0,0
256,2020-01-06,1130101322.1578302366,desktop,Firefox,69.0,1,0,0
257,2020-01-06,114375459.1578272658,mobile,Safari,13.0.4,1,0,0
258,2020-01-06,1144706318.1578302183,desktop,Firefox,69.0,1,0,0
259,2020-01-06,1145655639.1578300745,desktop,Firefox,69.0,1,0,0
260,2020-01-06,115303421.1578298207,mobile,Safari,13.0.4,1,0,0
261,2020-01-06,1158656227.1578303102,desktop,Firefox,69.0,1,0,0
262,2020-01-06,1175394974.1578300372,desktop,Internet Explorer,11.0,1,0,0
263,2020-01-06,1175632411.1578342441,mobile,Safari,12.1.2,1,0,0
264,2020-01-06,1189049573.1578303142,desktop,Chrome,76.0.3809.132,1,0,0
265,2020-01-06,1199367182.1578304579,desktop,Firefox,71.0,1,1,23.08
266,2020-01-06,1201422807.1578301419,desktop,Firefox,69.0,1,0,0
267,2020-01-06,1209078853.1578275712,desktop,Chrome,79.0.3945.88,1,0,0
268,2020-01-06,1213425506.1578301407,desktop,Chrome,76.0.3809.132,1,0,0
269,2020-01-06,1216205138.1578303104,desktop,Chrome,76.0.3809.132,1,0,0
270,2020-01-06,1228150710.1578300500,desktop,Internet Explorer,11.0,1,0,0
271,2020-01-06,123351799.1578300371,desktop,Firefox,69.0,1,0,0
272,2020-01-06,1239539070.1578302249,desktop,Firefox,69.0,1,0,0
273,2020-01-06,1239940871.1578316576,desktop,Safari,13.0.4,2,1,24.78
274,2020-01-06,1240652373.1578300502,desktop,Chrome,76.0.3809.132,1,0,0
275,2020-01-06,1257418874.1578329929,desktop,Chrome,79.0.3945.88,1,0,0
276,2020-01-06,1259435264.1578300371,desktop,Chrome,76.0.3809.132,1,0,0
277,2020-01-06,1301099971.1578330381,desktop,Edge,18.18362,1,0,0
278,2020-01-06,1336992789.1578328948,mobile,Chrome,79.0.3945.93,1,0,0
279,2020-01-06,1338843961.1578300505,desktop,Firefox,69.0,1,0,0
280,2020-01-06,1347540036.1578300797,desktop,Chrome,76.0.3809.132,1,0,0
281,2020-01-06,1348030654.1578300746,desktop,Firefox,69.0,1,0,0
282,2020-01-06,1348120603.1578301313,desktop,Firefox,69.0,1,0,0
283,2020-01-06,13565059.1578300370,desktop,Firefox,69.0,1,0,0
284,2020-01-06,1357465461.1578300795,desktop,Firefox,69.0,1,0,0
285,2020-01-06,1360571755.1578353952,desktop,Safari,13.0.4,1,0,0
286,2020-01-06,1361350508.1578303161,desktop,Chrome,76.0.3809.132,1,0,0
287,2020-01-06,1373613078.1578300371,desktop,Internet Explorer,11.0,1,0,0
288,2020-01-06,137566802.1578300521,desktop,Firefox,69.0,1,0,0
289,2020-01-06,1379609636.1578303167,desktop,Internet Explorer,11.0,1,0,0
290,2020-01-06,1383745033.1578300374,desktop,Internet Explorer,11.0,1,0,0
291,2020-01-06,1384067451.1578300372,desktop,Chrome,76.0.3809.132,1,0,0
292,2020-01-06,1386760409.1578322069,desktop,Chrome,79.0.3945.88,1,0,0
293,2020-01-06,1391503920.1578169691,mobile,Safari,13.0.4,1,0,0
294,2020-01-06,1395188000.1578300370,desktop,Internet Explorer,11.0,1,0,0
295,2020-01-06,1409402821.1578300505,desktop,Firefox,69.0,1,0,0
296,2020-01-06,1411212711.1578303172,desktop,Firefox,69.0,1,0,0
297,2020-01-06,1411374171.1578340707,desktop,Mozilla Compatible Agent,5.0,1,0,0
298,2020-01-06,1415425283.1577939135,mobile,Chrome,78.0.3904.96,1,0,0
299,2020-01-06,1420707134.1578301252,desktop,Internet Explorer,11.0,1,0,0
300,2020-01-06,1440091634.1578348058,tablet,Amazon Silk,78.5.26,2,0,0
301,2020-01-06,1457324806.1578309757,mobile,Samsung Internet,10.2,1,0,0
302,2020-01-06,1482324022.1578300503,desktop,Firefox,69.0,1,0,0
303,2020-01-06,1507686965.1578355126,mobile,Safari,13.0,1,0,0
304,2020-01-06,1512191404.1578303166,desktop,Firefox,69.0,1,0,0
305,2020-01-06,1519083425.1578301306,desktop,Chrome,76.0.3809.132,1,0,0
306,2020-01-06,1530870922.1578434095,desktop,Firefox,52.0,1,0,0
307,2020-01-06,1547997569.1578340604,mobile,Chrome,79.0.3945.93,1,0,0
308,2020-01-06,155925309.1578303334,desktop,Internet Explorer,11.0,1,0,0
309,2020-01-06,1562305557.1578261016,mobile,Safari,13.0.4,1,0,0
310,2020-01-06,156734020.1578301440,desktop,Chrome,76.0.3809.132,1,0,0
311,2020-01-06,157077518.1578300521,desktop,Chrome,76.0.3809.132,1,0,0
312,2020-01-06,1579672260.1578301272,desktop,Firefox,69.0,1,0,0
313,2020-01-06,1623924845.1578300372,desktop,Chrome,76.0.3809.132,1,0,0
314,2020-01-06,1636296092.1578330018,mobile,Chrome,79.0.3945.93,1,0,0
315,2020-01-06,164447181.1578300521,desktop,Chrome,76.0.3809.132,1,0,0
316,2020-01-06,1648620977.1578302250,desktop,Firefox,69.0,1,0,0
317,2020-01-06,166288020.1578302243,desktop,Internet Explorer,11.0,1,0,0
318,2020-01-06,1664713307.1578303169,desktop,Firefox,69.0,1,0,0
319,2020-01-06,1684710343.1578303332,desktop,Chrome,76.0.3809.132,1,0,0
320,2020-01-06,1688008627.1578301300,desktop,Chrome,76.0.3809.132,1,0,0
321,2020-01-06,1688138576.1578302752,desktop,Safari,10.0,1,0,0
322,2020-01-06,1692145795.1578300796,desktop,Firefox,69.0,1,0,0
323,2020-01-06,1694340961.1578275566,tablet,Safari,12.1.2,1,0,0
324,2020-01-06,1702419536.1578341199,mobile,Edge,15.15254,1,0,0
325,2020-01-06,1715399729.1578300773,desktop,Firefox,69.0,1,0,0
326,2020-01-06,1717035707.1578300377,desktop,Chrome,76.0.3809.132,1,0,0
327,2020-01-06,1738636571.1578303141,desktop,Firefox,69.0,1,0,0
328,2020-01-06,1774820982.1578338736,tablet,Android Webview,47.0.2526.100,1,0,0
329,2020-01-06,1784267702.1578294040,mobile,Chrome,79.0.3945.93,1,0,0
330,2020-01-06,1818597769.1578325226,mobile,Safari,13.0.4,2,0,0
331,2020-01-06,182847653.1578300770,desktop,Firefox,69.0,1,0,0
332,2020-01-06,1832915183.1578300372,desktop,Firefox,69.0,1,0,0
333,2020-01-06,1842426185.1577518187,mobile,Firefox,68.0,1,0,0
334,2020-01-06,1848896573.1578302369,desktop,Internet Explorer,11.0,1,0,0
335,2020-01-06,1849303603.1578303138,desktop,Internet Explorer,11.0,1,0,0
336,2020-01-06,1852041216.1578349815,mobile,Chrome,79.0.3945.93,1,0,0
337,2020-01-06,1852791438.1578300754,desktop,Internet Explorer,11.0,1,0,0
338,2020-01-06,1852857489.1578303163,desktop,Firefox,69.0,1,0,0
339,2020-01-06,1864018730.1578300372,desktop,Firefox,69.0,1,0,0
340,2020-01-06,1866508890.1578302245,desktop,Firefox,69.0,1,0,0
341,2020-01-06,1867034815.1578300505,desktop,Chrome,76.0.3809.132,1,0,0
342,2020-01-06,1875032030.1578300374,desktop,Firefox,69.0,1,0,0
343,2020-01-06,1879040941.1578300778,desktop,Firefox,69.0,1,0,0
344,2020-01-06,1883247405.1578302364,desktop,Internet Explorer,11.0,1,0,0
